StudentID,Student Name,Student Gender,Student Age,Student Class,Mother Name,Father Name,Contact Phone Number,Assigned Mentor,Mentor Phone Number
RJ_2025,Kavya Verma,Female,12,6,Ananya Gupta,Rohan Sharma,"=""9504575472""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2026,Aarav Singh,Male,16,10,Priya Singh,Aarav Sharma,"=""7261240758""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2027,Aditya Reddy,Male,16,11,Isha Patel,Reyansh Gupta,"=""6404472957""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2028,Tara Jain,Female,18,12,Ananya Sharma,Rohan Patel,"=""8490058565""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2029,Kabir Kumar,Male,10,4,Aisha Sharma,Aarav Reddy,"=""8449646863""",Mr. Amit Singh,"=""9876543212"""
RJ_2030,Arjun Singh,Male,9,3,Priya Singh,Arjun Reddy,"=""8712180480""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2031,Sai Gupta,Male,7,1,Riya Gupta,Aryan Verma,"=""6584935791""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2032,Sneha Jain,Female,11,5,Priya Khan,Vihaan Sharma,"=""7480488017""",Mr. Amit Singh,"=""9876543212"""
RJ_2033,Rohan Patel,Male,7,1,Siya Verma,Sai Gupta,"=""6948284242""",Ms. Pooja Verma,"=""9876543213"""
RJ_2034,Kavya Kumar,Female,15,9,Aisha Patel,Rohan Shah,"=""8634896921""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2035,Vihaan Reddy,Male,10,4,Sneha Shah,Aryan Shah,"=""7114780197""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2036,Sneha Verma,Female,15,10,Isha Singh,Ishaan Shah,"=""8440759419""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2037,Aryan Reddy,Male,7,2,Isha Verma,Reyansh Singh,"=""8661043209""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2038,Diya Verma,Female,15,9,Sneha Sharma,Vihaan Patel,"=""9566306776""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2039,Diya Shah,Female,17,11,Aisha Verma,Reyansh Gupta,"=""8968249842""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2040,Siya Patel,Female,9,3,Tara Verma,Sai Jain,"=""8533278893""",Ms. Pooja Verma,"=""9876543213"""
RJ_2041,Vihaan Shah,Male,6,1,Diya Kumar,Aditya Gupta,"=""7821535776""",Ms. Pooja Verma,"=""9876543213"""
RJ_2042,Aditya Jain,Male,11,5,Ananya Jain,Aryan Sharma,"=""9604184179""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2043,Kavya Patel,Female,7,2,Riya Gupta,Reyansh Singh,"=""7997476327""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2044,Kavya Kumar,Female,7,2,Riya Verma,Aryan Gupta,"=""7837548230""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2045,Sai Jain,Male,17,12,Ananya Shah,Arjun Singh,"=""7150540992""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2046,Aryan Sharma,Male,16,10,Diya Reddy,Reyansh Reddy,"=""7546120175""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2047,Diya Khan,Female,17,11,Diya Patel,Arjun Sharma,"=""7295791940""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2048,Aditya Kumar,Male,17,11,Siya Shah,Aryan Patel,"=""7148461013""",Ms. Pooja Verma,"=""9876543213"""
RJ_2049,Kavya Sharma,Female,12,7,Priya Jain,Aditya Verma,"=""8144209737""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2050,Sneha Sharma,Female,11,6,Riya Kumar,Aryan Singh,"=""9421162406""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2051,Vihaan Sharma,Male,12,7,Ananya Gupta,Arjun Verma,"=""8966896349""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2052,Reyansh Jain,Male,7,1,Sneha Verma,Rohan Gupta,"=""6518883764""",Ms. Pooja Verma,"=""9876543213"""
RJ_2053,Ananya Patel,Female,13,7,Priya Jain,Rohan Kumar,"=""9272748724""",Mr. Vijay Gupta,"=""9876543214"""
RJ_2054,Aryan Jain,Male,14,8,Ananya Kumar,Reyansh Singh,"=""7899966125""",Mr. Amit Singh,"=""9876543212"""
RJ_2055,Aarav Shah,Male,10,5,Priya Singh,Aditya Patel,"=""7432694619""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2056,Tara Khan,Female,17,11,Sneha Gupta,Kabir Singh,"=""9687264180""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2057,Reyansh Verma,Male,17,12,Aisha Khan,Aryan Gupta,"=""9553468573""",Ms. Pooja Verma,"=""9876543213"""
RJ_2058,Reyansh Sharma,Male,14,9,Riya Gupta,Ishaan Sharma,"=""7957219105""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2059,Diya Sharma,Female,18,12,Sneha Kumar,Arjun Singh,"=""7984653853""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2060,Kabir Kumar,Male,6,1,Diya Sharma,Kabir Jain,"=""6347127942""",Ms. Sunita Sharma,"=""9876543211"""
RJ_2061,Aarav Khan,Male,8,3,Aisha Jain,Vihaan Patel,"=""9274850030""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2062,Tara Singh,Female,12,7,Siya Jain,Aditya Jain,"=""9714945900""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2063,Aditya Jain,Male,7,1,Isha Patel,Arjun Shah,"=""7539538724""",Mr. Amit Singh,"=""9876543212"""
RJ_2064,Diya Sharma,Female,8,2,Siya Verma,Aryan Singh,"=""8751521354""",Ms. Pooja Verma,"=""9876543213"""
RJ_2065,Reyansh Gupta,Male,7,2,Tara Singh,Reyansh Shah,"=""8294504850""",Ms. Pooja Verma,"=""9876543213"""
RJ_2066,Rohan Jain,Male,15,9,Sneha Shah,Aditya Jain,"=""8544439179""",Mr. Amit Singh,"=""9876543212"""
RJ_2067,Arjun Khan,Male,15,10,Isha Singh,Reyansh Verma,"=""8859223888""",Mr. Amit Singh,"=""9876543212"""
RJ_2068,Kabir Kumar,Male,15,9,Kavya Singh,Vihaan Gupta,"=""9388592293""",Mr. Amit Singh,"=""9876543212"""
RJ_2069,Reyansh Reddy,Male,8,2,Diya Gupta,Rohan Kumar,"=""8672952228""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2070,Rohan Jain,Male,10,5,Sneha Shah,Vihaan Khan,"=""6984428610""",Mr. Amit Singh,"=""9876543212"""
RJ_2071,Kavya Shah,Female,9,4,Isha Reddy,Aarav Gupta,"=""9194661492""",Mr. Rajesh Kumar,"=""9876543210"""
RJ_2072,Siya Jain,Female,14,9,Siya Reddy,Aditya Sharma,"=""8496753551""",Ms. Pooja Verma,"=""9876543213"""
RJ_2073,Aditya Gupta,Male,17,12,Riya Singh,Rohan Jain,"=""7305312090""",Mr. Amit Singh,"=""9876543212"""
RJ_2074,Sneha Reddy,Female,15,9,Isha Shah,Arjun Sharma,"=""9129534260""",Ms. Sunita Sharma,"=""9876543211"""
